epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2017.2,1.35399,0.54478,1.55113,0.9163,0.93732,0.97398,0.57,1.48982,0.55454,1.70637,0.000218,0.000218,0.000218
92,2039.25,1.35593,0.53852,1.57261,0.90959,0.93836,0.97396,0.5716,1.50045,0.56061,1.71744,0.0001982,0.0001982,0.0001982
93,2061.27,1.34426,0.52374,1.56588,0.9251,0.93151,0.97791,0.57983,1.50626,0.55138,1.71758,0.0001784,0.0001784,0.0001784
94,2083.49,1.35618,0.51944,1.5773,0.93956,0.93493,0.97609,0.58094,1.49096,0.53973,1.70568,0.0001586,0.0001586,0.0001586
95,2105.76,1.35335,0.51765,1.56887,0.91739,0.93493,0.97459,0.58125,1.48592,0.54542,1.69959,0.0001388,0.0001388,0.0001388
96,2127.86,1.3351,0.51079,1.54477,0.92142,0.92361,0.97168,0.58502,1.49864,0.54299,1.71006,0.000119,0.000119,0.000119
97,2150.02,1.34636,0.51045,1.56349,0.92842,0.92123,0.97373,0.5841,1.49293,0.54032,1.70592,9.92e-05,9.92e-05,9.92e-05
98,2171.97,1.32585,0.50357,1.54514,0.92505,0.93151,0.973,0.58435,1.48535,0.54555,1.70158,7.94e-05,7.94e-05,7.94e-05
99,2194.16,1.3194,0.50283,1.52583,0.91231,0.92636,0.97284,0.5854,1.48592,0.5399,1.70387,5.96e-05,5.96e-05,5.96e-05
100,2216.27,1.33618,0.49788,1.54902,0.90375,0.93252,0.97315,0.58732,1.48095,0.53804,1.69915,3.98e-05,3.98e-05,3.98e-05
